Funds,Fund Manager,Category,RupeeVestRating,AUM(in Rs. cr),ExpenseRatio (%),Fund Type,Inception Date,Benchmark Index, NAV , 52 WeekHigh (NAV), 52 WeekLow (NAV),Return (%)1 mo,Return (%)3 mo,Return (%)6 mo,Return (%)1 yr,Return (%)2 yrs,Return (%)3 yrs,Return (%)5 yrs,Return (%)10 yrs,Turnover Ratio (%), No. ofStocks,Avg. Market Cap(in Rs. cr),Large Cap(%),Mid Cap(%),Small Cap(%),Highest Sector,Avg. Maturity(in yrs),Mod. Duration(in yrs),Yield To Maturity (%),Alpha,Sharpe,Sortino,Beta,Standard Deviation,classification,Exit_load_Remarks
DSP Healthcare Fund-Reg(G),Chirag Dagli,EQ-PHRM,5,3248.8,1.92,Open Ended,30-Nov-18,BSE Health Care - TRI,41.62,41.65,30.03,0.34,1.97,24.7,40.69,37.69,20.52,30.7,10.55,21,29,38781,18.14,14.07,47.42,Healthcare,9.88,0.11,7.48,31.02,2.76,5.15,0.37,11.88,Equity : Sectoral - Pharma,0.50% on or before 1M Nil after 1M
DSP India T.I.G.E.R Fund-Reg(G),Charanjit Singh,EQ-INFRA,3,5515.3,1.86,Open Ended,11-Jun-04,BSE India Infrastructure Index - TRI,326.6,350.04,243.22,-1.72,-7.3,-2.71,32.4,40.63,31.46,28.32,16.93,40,72,47748,34.92,10.55,48.11,Capital Goods,5.63,0.01,7.42,22.08,1.38,1.91,1.02,19.74,Equity : Sectoral - Infrastructure,1% before 12M Nil on or after 12M
DSP Liquidity Fund-Reg(G),Karan Mundhra,DT-LIQ,3,22864.4,0.19,Open Ended,22-Nov-05,CRISIL Liquid Debt Index,3603.84,3603.84,3356.98,0.59,1.75,3.57,7.37,7.17,6.39,5.3,6.28,0,65,46957,41.41,11.89,85.13,Healthcare,0.1,0.09,7.07,0.76,10.33,5.56,2.07,0.07,Debt : Liquid,0.007% for Day 1 0.0065% on Day 2 0.0060% on Day 3 0.0055% on Day 4 0.0050% on Day 5 0.0045% on Day 6 NIL after 7D
DSP Low Duration Fund-Reg(G),Karan Mundhra,DT-LOWD,4,5505.5,0.61,Open Ended,10-Mar-15,NIFTY Low Duration Debt Index,19.08,19.08,17.77,0.59,1.71,3.62,7.4,7.15,6.16,5.71,15.59,0,32,255745,83.84,2.91,12.49,Financials,1.06,0.92,7.5,3.05,9.81,19.81,0.08,0.33,Debt : Low Duration,Nil
DSP Midcap Fund-Reg(G),Vinit Sambre,EQ-MID,2,19215.8,1.68,Open Ended,14-Nov-06,Nifty Midcap 150 - TRI,148.55,153.74,111.94,0.84,-4.34,2.69,22.66,30.8,17.7,20.75,15.37,42,57,46299,9.74,66.17,19.01,Financials,0.27,3.37,7.05,13.81,1.15,1.72,0.84,15.65,Equity : Mid Cap,1% before 12M Nil on or after 12M
DSP Multi Asset Allocation Fund-Reg(G),Aparna Karnik,HY-MULTI,Unrated,2355.1,1.65,Open Ended,27-Sep-23,NIFTY 500 - TRI,12.6,13.06,10.75,-0.9,-3.09,4.1,16.45,7.3,5.76,6.51,14.29,39,39,240957,31.65,3.94,5.9,Financials,10.22,4.47,7.25,10.91,1.82,2.97,0.81,7.25,Hybrid : Multi Asset Allocation,Nil upto 10% of units and 1% for remaining units on or before 12M Nil after 12M
DSP Multicap Fund-Reg(G),Chirag Dagli,EQ-MLC,Unrated,1869.5,2.03,Open Ended,30-Jan-24,Nifty500 Multicap 50:25:25 - TRI,12.29,12.94,9.57,-0.47,-5.67,2.12,30.17,31,13.96,13.24,11.03,16,59,49631,31.89,19.29,40,Financials,1.61,0.29,6.65,19.96,1.28,1.79,0.09,17.33,Equity : Multi Cap,1% on or before 12M Nil after 12M
DSP Natural Res & New Energy Fund-Reg(G),Rohit Singhania,EQ-POWER,Unrated,1256.5,2.11,Open Ended,25-Apr-08,BSE OIL & GAS Index,85.44,98.85,73.44,-4.43,-13.39,-7.53,13.9,22.17,17.93,21.16,16.61,30,23,99981,39.49,33.97,9.37,Energy,3.17,0.01,7.11,5.62,0.56,0.83,1.03,20.77,Equity : Sectoral - Energy / Power,Nil
DSP NIFTY 1D Rate Liquid ETF,Anil Ghelani,DT-ETF,Unrated,706.6,0.3,Open Ended,14-Mar-18,Nifty 1D Rate Index,1000,1000.54,1000,0.53,1.54,3.11,6.35,6.33,5.62,4.45,5.89,0,250,137875,50.36,20.92,13.5,Financials,0.01,5.33,6.78,0.91,7.29,9.05,0.9,0.13,Debt : ETFs,Nil
DSP Nifty 50 Equal Weight ETF,Anil Ghelani,EQ-ETF,Unrated,210.5,0.3,Open Ended,08-Nov-21,NIFTY50 Equal Weight,309.58,346.02,269.08,-1.54,-11.57,-2.77,10.69,21.39,16.77,18.27,6.39,75,50,290187,96.26,3.66,6.46,Financials,0.46,0.12,7.03,2.65,0.51,0.79,0.96,14.23,Equity : ETFs,Nil
DSP Nifty 50 Equal Weight Index Fund-Reg(G),Anil Ghelani,EQ-INDX,5,1895.2,0.87,Open Ended,23-Oct-17,NIFTY50 Equal Weight - TRI,24.05,26.92,21.05,-1.6,-11.72,-3.12,9.89,20.55,16,19.08,6.73,26,50,290186,96.28,3.66,5.47,Financials,4.24,3.5,7.74,1.79,0.46,0.72,0.96,14.33,Equity : Index Funds,Nil
DSP Nifty 50 ETF,Anil Ghelani,EQ-ETF,Unrated,326.3,0.07,Open Ended,23-Dec-21,NIFTY 50 - TRI,249.8,270.34,217.09,-1.61,-7.82,-1.25,10.38,16.48,12.91,3.36,7.8,46,50,555827,98.71,1.25,19.42,Financials,0.08,9.6,7.33,2.07,0.49,0.75,0.99,13.85,Equity : ETFs,Nil upto 25% of units and 1% for remaining units on or before 365D Nil after 365D
DSP NIFTY 50 Index Fund-Reg(G),Anil Ghelani,EQ-INDX,3,655.8,0.31,Open Ended,21-Feb-19,NIFTY 50 - TRI,23.18,25.1,20.22,-1.64,-7.89,-1.44,9.93,16.02,12.47,15.16,3.05,7,50,555827,98.71,1.25,9.43,Financials,0.42,4.73,6.97,1.51,0.47,0.71,0.99,13.95,Equity : Index Funds,Nil
DSP Nifty Bank ETF,Anil Ghelani,EQ-ETF,Unrated,505.3,0.16,Open Ended,03-Jan-23,NIFTY BANK - TRI,52.32,55.15,45.17,-1.93,-3.56,-2.72,6.58,12.96,8.98,24.5,14.15,57,12,538946,86.42,13.58,13.91,Financials,3.07,2.5,7.45,-1.51,0.21,0.31,1.08,17.36,Equity : ETFs,NIL
DSP Nifty Bank Index Fund-Reg(G),Anil Ghelani,EQ-INDX,Unrated,45.3,0.9,Open Ended,31-May-24,NIFTY BANK - TRI,10.5,11.09,9.57,-2.03,-3.77,-3.15,6.41,28.22,12.91,22.71,6.34,27,12,538945,86.39,13.57,58.16,Financials,21.39,2.91,6.79,2.82,0.95,1.38,0.99,15.8,Equity : Index Funds,Nil
DSP Nifty Healthcare ETF,Anil Ghelani,EQ-PHRM,Unrated,12.1,0.21,Open Ended,01-Feb-24,Nifty Healthcare Index - TRI,151.17,151.17,113.64,6.15,1.7,19.37,28.21,21.97,6.41,29.02,5.84,1,20,120107,54.96,39.59,5.41,Healthcare,2.23,2.92,7.02,17.56,1.35,1.89,0.95,0.14,Equity : Sectoral - Pharma,Nil
DSP Nifty IT ETF,Anil Ghelani,EQ-ETF,Unrated,42.7,0.2,Open Ended,07-Jul-23,NIFTY IT - TRI,45.35,47.04,32.85,0.5,2.72,18.36,23.4,21.78,27.75,6.22,9.81,73,10,429492,83.84,16.15,0.75,Technology,7.87,2.06,6.95,15.9,1,1.83,0.74,19.38,Equity : ETFs,1% on or before 1Y Nil after 1Y
