Funds,Fund Manager,Category,RupeeVestRating,AUM(in Rs. cr),ExpenseRatio (%),Fund Type,Inception Date,Benchmark Index, NAV , 52 WeekHigh (NAV), 52 WeekLow (NAV),Return (%)1 mo,Return (%)3 mo,Return (%)6 mo,Return (%)1 yr,Return (%)2 yrs,Return (%)3 yrs,Return (%)5 yrs,Return (%)10 yrs,Turnover Ratio (%), No. ofStocks,Avg. Market Cap(in Rs. cr),Large Cap(%),Mid Cap(%),Small Cap(%),Highest Sector,Avg. Maturity(in yrs),Mod. Duration(in yrs),Yield To Maturity (%),Alpha,Sharpe,Sortino,Beta,Standard Deviation,classification,Exit_load_Remarks
360 ONE Balanced Hybrid Fund-Reg(G),Mayur Patel,HY-EQ,Unrated,860.1,1.94,Open Ended,25-Sep-23,NIFTY 50 Hybrid Composite Debt 50:50 Index,12.45,12.57,10.62,0.09,-1.45,1.83,16.18,28.33,5.82,5.58,6.48,53,53,104021,22.23,6.91,13.13,Financials,2.93,2.48,7.39,8.27,1.58,2.28,1.2,7.5,Hybrid : Equity Oriented,Nil upto 10% of units and 1% for remaining units on or before 12M Nil after 12M
360 ONE Dynamic Bond Fund-Reg(G),Milan Mody,DT-DYN,2,737.5,0.52,Open Ended,24-Jun-13,CRISIL Dynamic Bond Index,21.5,21.5,19.61,0.56,1.18,4.7,9.62,8.13,6.6,6.7,6.82,0,1,555847,45.99,1.24,30.55,Financials,6.85,3.08,7.35,3.5,3.72,6.7,0.64,1.45,Debt : Dynamic Bond,Nil
360 ONE ELSS Tax Saver Nifty 50 Index Fund-Reg(G),Parijat Garg,EQ-ELSS,Unrated,75.8,0.52,Open Ended,28-Dec-22,NIFTY 50 - TRI,13.45,14.56,11.74,-1.64,-7.88,-1.39,9.91,15.78,12.51,12.26,13.95,3,50,555860,97.98,1.24,23.7,Financials,3.64,5.12,7.19,1.51,0.47,0.71,0.99,13.9,Equity : Tax Saving (ELSS),Nil
360 ONE Flexicap Fund-Reg(G),Mayur Patel,EQ-FLEX,Unrated,1254.2,2.08,Open Ended,30-Jun-23,BSE 500 - TRI,15.33,16.1,11.82,-0.61,-5.71,0.43,27.02,6.63,20.08,5.35,13.78,27,53,96024,48.74,17.75,28.15,Financials,0.11,2.05,7.13,16.98,1.4,2.02,0.92,15.45,Equity : Flexi Cap,1% on or before 365D Nil after 365D
360 ONE Focused Equity Fund-Reg(G),Mayur Patel,EQ-MLC,4,7305,1.78,Open Ended,30-Oct-14,BSE 500 - TRI,46.19,50.23,39,-2.79,-8.69,-4.21,14.9,22.71,14.5,20.21,15.71,43,31,179687,67.69,10.53,17.9,Financials,10.44,1.55,7.72,6.25,0.71,1,1.02,16.03,Equity : Multi Cap,1% on or before 12M
360 ONE Liquid Fund-Reg(G),Milan Mody,DT-LIQ,1,772.9,0.25,Open Ended,13-Nov-13,CRISIL Liquid Debt Index,1945.6,1945.6,1815.46,0.58,1.71,3.47,7.19,7.04,6.27,5.03,5.9,0,25,143044,98.15,29.09,45.89,Financials,0.14,8.15,6.99,1.61,10.39,12.82,1.01,0.16,Debt : Liquid,0.007% for Day 1 0.0065% on Day 2 0.0060% on Day 3 0.0055% on Day 4 0.0050% on Day 5 0.0045% on Day 6 NIL on or after 7D
360 ONE Quant Fund-Reg(G),Parijat Garg,EQ-THEM,Unrated,604.7,1.83,Open Ended,29-Nov-21,BSE 200 - TRI,18.69,20.71,15,-1.03,-9.99,-2.28,21.82,33.9,22.83,9.69,6.34,94,35,123986,60.76,37.72,16.81,Financials,1.19,11.99,6.83,12.78,0.96,1.37,1.1,19.17,Equity : Thematic,1% on or before 12M Nil after 12M
Aditya Birla SL Active Debt Multi-Mgr FoF(G),Kaustubh Gupta,FOF-DOM,Unrated,10.3,0.54,Open Ended,28-Dec-06,CRISIL Composite Bond Index,35.85,35.94,33.24,0.43,1.13,3.91,7.84,7.32,5.87,6.21,6.77,5,89,76586,87.89,6.57,22.95,Financials,32.99,0.59,7.3,2.6,2.17,3.78,0.4,1.74,FoFs : Domestic,0.25% on or before 15D Nil after 15D
Aditya Birla SL Arbitrage Fund(G),Lovelish Solanki,HY-ARB,3,13843.7,1.01,Open Ended,24-Jul-09,Nifty 50 Arbitrage - TRI,25.69,25.69,23.92,0.66,1.83,3.45,7.45,7.32,6.24,5.31,5.84,1402,191,205260,51.67,15.08,3.69,Financials,1.02,0.66,7.5,3.53,3.35,7.38,-0.08,0.99,Hybrid : Arbitrage,0.25% on or before 15D Nil after 15D
Aditya Birla SL Asset Allocator FoF(G),Vinod Narayan Bhat,FOF-DOM,Unrated,187.4,1.25,Open Ended,17-Aug-06,CRISIL Hybrid 50+50 - Moderate Index,63.05,65.76,53.88,0.06,-3.86,1.62,16.57,19.86,13.36,16.02,11.93,893,83,328937,26.59,14.54,23.09,Financials,2.39,1.05,7.66,7.41,1.1,1.54,1.81,11.67,FoFs : Domestic,1% on or before 365D Nil after 365D
Aditya Birla SL Bal Bhavishya Yojna-Reg(G),Chanchal Khandelwal,HY-SOL,2,1087.2,2.15,Open Ended,11-Feb-19,NIFTY 500 - TRI,19.68,20.94,16.55,-0.1,-6.77,-0.05,14.7,19.26,12.6,12.69,7.25,58,63,121321,55.89,11.69,30.7,Financials,5.45,2.4,7.11,4.89,0.72,1.01,2.23,15.85,Hybrid : Solution Oriented,Nil
Aditya Birla SL Balanced Advantage Fund(G),Harish krishnan,HY-DYN,4,7400.2,1.8,Open Ended,25-Apr-00,CRISIL Hybrid 50+50 - Moderate Index,100.81,104.73,87.71,-0.53,-4.05,1.68,13.1,15.08,11.42,12.44,10.5,278,98,211944,51.92,11.13,3.84,Financials,3.73,2.87,7.41,5.17,1.12,1.66,1.23,7.84,Hybrid : Dynamic Asset Allocation,0.25% on or before 7D Nil after 7D
Aditya Birla SL Banking & Financial Services Fund-Reg(G),Dhaval Gala,EQ-FIN,4,3269.7,1.99,Open Ended,14-Dec-13,Nifty Financial Services - TRI,56.09,60.25,48.89,-1.97,-6.47,-2.88,9.31,15.98,14.66,12.03,12.76,20,34,226190,65.94,11.52,19.26,Financials,23.33,2.71,6.98,1.23,0.39,0.56,1.03,16.42,Equity : Sectoral - Financial Services,1% on or before 30D Nil after 30D
Aditya Birla SL Banking & PSU Debt(G),Kaustubh Gupta,DT-B&PSU,4,9482.9,0.73,Open Ended,05-May-08,NIFTY Banking and PSU Debt Index,350.92,350.92,325.39,0.55,1.45,3.97,7.84,7.33,6.1,6.51,7.54,0,38,68910,36.9,33.45,35.07,Healthcare,4.46,3.3,7.41,2.65,5.12,9.72,0.37,0.73,Debt : Banking & PSU,Nil
Aditya Birla SL BSE India Infrastructure Index Fund-Reg(G),Priya Sridhar,EQ-INFRA,Unrated,85.9,1,Open Ended,04-Dec-24,BSE India Infrastructure Index - TRI,9.59,10.19,9.35,-0.35,-2.33,4.56,25.8,7.12,6.11,23.32,13.92,0,15,101149,21.14,19.42,2.08,Financials,4.3,2.5,6.71,0.28,34.53,2.11,0.98,12.12,Equity : Sectoral - Infrastructure,0.05% on or before 30D Nil after 30D
Aditya Birla SL BSE Sensex ETF,Priya Sridhar,EQ-ETF,Unrated,331.9,0.08,Open Ended,18-Jul-16,BSE SENSEX - TRI,79.07,84.76,68.87,-1.64,-6.69,-0.82,9.8,15.66,12.43,15.19,9.81,167,30,684548,99.14,0.72,20.19,Financials,2.92,4.13,7.04,1.39,0.46,0.71,1,13.89,Equity : ETFs,0.25% on or before 30D Nil after 30D
Aditya Birla SL Business Cycle Fund-Reg(G),Harish krishnan,EQ-THEM,Unrated,1823.2,2.1,Open Ended,03-Dec-21,BSE 500 - TRI,14.97,15.99,12.45,0.2,-5.91,1.56,19.19,19.15,14.25,14.02,6.35,0,70,132232,55.93,17.75,23.6,Financials,10.08,2.11,6.87,10.21,1.07,1.6,0.92,13.92,Equity : Thematic,1% on or before 30D Nil after 30D
Aditya Birla SL Conglomerate Fund-Reg(G),Harish krishnan,EQ-THEM,Unrated,10979.1,1.91,Open Ended,27-Dec-24,BSE Select Business Groups Index - TRI,10.05,10.05,10,0.46,-4.16,2.7,16.96,34.67,7.4,6.64,3.34,120,20,323589,63.88,11.76,17.91,Technology,2.38,1.58,7.07,2.7,8.8,18.49,0.99,0.3,Equity : Thematic,0.50% on or before 90D Nil after 90D
Aditya Birla SL Corp Bond Fund(G),Kaustubh Gupta,DT-CORP,5,24978.5,0.52,Open Ended,03-Mar-97,NIFTY Corporate Bond Index,108.03,108.04,99.52,0.53,1.5,4.27,8.53,7.86,6.6,7.09,7.77,0,30,308142,83.74,4.63,18.87,Financials,5.37,3.74,7.51,2.97,4.9,9.41,0.47,0.89,Debt : Corporate Bond,Nil
Aditya Birla SL Credit Risk Fund-Reg(G),Sunaina da Cunha,DT-CR,3,917.8,1.54,Open Ended,22-Apr-15,CRISIL Credit Risk Debt Index,20.57,20.57,18.35,0.47,4.19,7.18,11.98,9.43,8.65,8.32,7.4,0,1,538945,49.92,16.15,91.81,Financials,3.03,2.14,8.28,6.48,2.63,15.65,0.4,2.91,Debt : Credit Risk,Nil upto 15% of units For remaining units 3% on or before 1Y 2% after 1Y but on or before 2Y 1% after 2Y but on or before 3Y Nil after 3Y
Aditya Birla SL CRISIL 10 Year Gilt ETF,Bhupesh Bameta,DT-ETF,Unrated,17.8,0.1,Open Ended,13-Aug-24,Crisil 10 Yr Gilt Index,102.98,103.22,100,0.32,1.05,4.24,21.86,7.49,6.54,16.85,13.11,0,100,164802,96.99,11.09,7.85,Financials,9.03,6.49,6.89,13.56,0.97,1.44,0.37,14.12,Debt : ETFs,Nil
Aditya Birla SL CRISIL Broad Based Gilt ETF,Kaustubh Gupta,DT-ETF,Unrated,43.6,0.19,Open Ended,05-Jul-24,CRISIL Broad Based Gilt Index,104.32,104.44,100,0.39,0.77,6.5,8.88,6.93,13.74,0,6.75,0,105,91730,44.28,45.57,14.72,Financials,12.06,6.91,6.94,1.49,2.52,4.37,0.98,0.32,Debt : ETFs,Nil
Aditya Birla SL CRISIL IBX 50:50 Gilt Plus SDL Apr 2028 Index Fund-Reg(G),Mohit Sharma,DT-M&LD,Unrated,397.8,0.35,Open Ended,13-Oct-22,CRISIL IBX 50:50 Gilt Plus SDL Index - April 2028,11.89,11.89,10.99,0.5,1.4,4.08,8.09,7.9,6.44,5.72,6.85,0,30,290186,86.42,3.66,32.44,Financials,3.22,2.79,6.96,2.72,4.47,9.85,0.4,0.87,Debt : Medium to Long Duration,Nil
Aditya Birla SL CRISIL IBX 60:40 SDL + AAA PSU - Apr 2025 Index Fund-Reg(G),Mohit Sharma,DT-MD,Unrated,168.1,0.35,Open Ended,30-Mar-22,CRISIL IBX 60:40 SDL + AAA PSU Index - April 2025,11.63,11.63,10.84,0.57,1.63,3.48,7.29,7.1,8.59,4.6,15.47,0,10,188009,96.33,8.01,29.5,Financials,0.32,0.29,7.03,3.05,9.83,19.98,0.05,0.33,Debt : Medium Duration,Nil
Aditya Birla SL CRISIL IBX 60:40 SDL + AAA PSU - Apr 2027 Index Fund-Reg(G),Mohit Sharma,DT-M&LD,Unrated,1685.1,0.4,Open Ended,29-Mar-22,CRISIL IBX 60:40 SDL + AAA PSU Index - April 2027,11.66,11.66,10.83,0.55,1.56,3.79,7.79,7.3,17.64,14.58,10.3,0,88,171606,32.93,23.67,34.92,Financials,2.03,1.8,7.2,2.97,6.56,14.95,0.23,0.55,Debt : Medium to Long Duration,Nil
Aditya Birla SL CRISIL IBX 60:40 SDL + AAA PSU Apr 2026 Index Fund-Reg(G),Bhupesh Bameta,DT-B&PSU,Unrated,52.8,0.45,Open Ended,02-Dec-22,CRISIL IBX 60:40 SDL + AAA PSU Index - April 2026,11.51,11.51,10.72,0.56,1.6,3.63,7.41,7.11,24.04,22.71,7.29,0,30,24438,52.15,15.02,3.17,Financials,1.14,1.03,7.2,2.85,7,15.83,0.16,0.47,Debt : Banking & PSU,Nil
Aditya Birla SL CRISIL IBX Gilt - April 2026 Index Fund-Reg(G),Bhupesh Bameta,DT-MD,Unrated,294.3,0.36,Open Ended,07-Oct-22,CRISIL IBX Gilt Index - April 2026,11.72,11.72,10.94,0.56,1.49,3.59,7.22,7.13,9.23,5.25,7.46,0,51,555837,71.44,21.44,0.06,Financials,1.3,1.21,6.82,2.57,5.79,13.38,0.19,0.54,Debt : Medium Duration,Nil
Aditya Birla SL CRISIL IBX Gilt Apr 2028 Index Fund-Reg(G),Bhupesh Bameta,DT-M&LD,Unrated,29.2,0.79,Open Ended,15-Mar-23,CRISIL IBX Gilt Index - April 2028,11.34,11.34,10.56,0.53,1.28,3.73,7.38,7.21,8.06,9.32,15.87,0,55,168323,44.61,33.27,29.49,Financials,2.96,2.56,6.85,2.02,3.68,7.79,0.41,0.88,Debt : Medium to Long Duration,Nil
Aditya Birla SL CRISIL IBX Gilt Apr 2029 Index Fund-Reg(G),Harshil Suvarnkar,DT-GILT,Unrated,695.2,0.37,Open Ended,19-Oct-22,CRISIL IBX Gilt Index - April 2029,11.95,11.96,11.03,0.43,1.27,4.3,8.37,8.17,13.55,29.61,18.12,0,29,166127,50.98,10.92,44.15,Financials,4.34,3.68,6.82,2.39,3.28,5.97,0.61,1.28,Debt : Gilt,Nil
Aditya Birla SL CRISIL IBX Gilt April 2033 Index Fund-Reg(G),Bhupesh Bameta,DT-LD,Unrated,87.2,0.47,Open Ended,22-Dec-23,CRISIL IBX Gilt Index - April 2033,10.94,10.94,10,0.45,0.99,4.69,9.22,22.57,5.68,11.1,20.74,0,46,47253,86.6,8,4.72,Healthcare,7.66,5.65,6.92,1.94,2.71,4.96,0.99,1.8,Debt : Long Duration,Nil
Aditya Birla SL CRISIL IBX Gilt June 2027 Index Fund-Reg(G),Bhupesh Bameta,DT-GILT,Unrated,13,0.5,Open Ended,05-Jun-24,CRISIL IBX Gilt Index - June 2027,10.45,10.45,10,0.5,1.42,3.8,34.25,37.25,12.48,22.14,6.55,0,50,429500,67.76,16.15,36.57,Technology,2.4,2.09,6.79,10.66,0.95,1.36,0.42,4.21,Debt : Gilt,Nil
Aditya Birla SL CRISIL IBX SDL Jun 2032 Index Fund-Reg(G),Bhupesh Bameta,DT-LD,Unrated,160,0.57,Open Ended,14-Feb-23,CRISIL IBX SDL Index - June 2032,11.72,11.72,10.61,0.65,1.46,4.6,9.8,2.26,19.09,16.4,11.3,0,28,58753,98.83,11.75,84.81,Financials,7.12,5.35,7.19,3.12,3.04,6.2,0.76,1.77,Debt : Long Duration,Nil
Aditya Birla SL CRISIL Liquid Overnight ETF,Sanjay Pawar,DT-ON,Unrated,61.9,0.43,Open Ended,13-Mar-23,CRISIL Liquid Overnight Index,1000,1000.55,1000,0.51,1.51,3.02,6.29,7.37,6.36,11.73,7.8,0,44,253687,56.42,36.37,5.47,Financials,4.3,3.5,7.29,0.93,6.72,8.75,0.01,0.14,Debt : Overnight,0.50% on or before 30D Nil after 30D
Aditya Birla SL CRISIL-IBX AAA Financial Services Index-Sep 2027 Fund-Reg(G),Harshil Suvarnkar,DT-M&LD,Unrated,100.9,2.3,Open Ended,13-Nov-24,CRISIL IBX AAA Financial Services Index - Sep 2027,10.08,10.09,10,0.6,-6.2,4.87,7.82,34.02,19.46,21.83,12.52,0,28,166721,26.5,1.9,11.94,FMCG,2.39,2.03,7.66,0.93,0.43,0.66,0.75,13.95,Debt : Medium to Long Duration,NIL
Aditya Birla SL CRISIL-IBX AAA NBFC-HFC Index-Dec 2025 Fund-Reg(G),Sanjay Godambe,DT-SD,Unrated,372.4,2.22,Open Ended,15-Oct-24,CRISIL-IBX AAA NBFC-HFC Index - Dec 2025,10.15,10.15,10,0.63,-9.53,1.24,27.51,23.49,6.26,5.26,6.82,0,30,58051,57.64,1.05,34.85,Healthcare,0.94,0.87,7.84,17.09,1.13,1.64,0.1,0.14,Debt : Short Duration,NIL
Aditya Birla SL CRISIL-IBX AAA NBFC-HFC Index-Sep 2026 Fund-Reg(G),Harshil Suvarnkar,DT-SD,Unrated,274.9,0.4,Open Ended,08-Oct-24,CRISIL-IBX AAA NBFC-HFC Index - Sep 2026,10.17,10.17,10,0.66,-5.18,4.44,8.42,16.01,5.75,15.33,13.41,0,50,86278,38.43,11.16,47.42,Financials,1.62,1.43,7.86,1.97,2.55,4.12,1.08,1.66,Debt : Short Duration,Nil
Aditya Birla SL CRISIL-IBX Financial Services 3 to 6 Months Debt Index Fund-Reg(G),Harshil Suvarnkar,DT-USD,Unrated,1118.5,2.34,Open Ended,17-Dec-24,CRISIL-IBX Financial Services 3 to 6 Months Debt Index,10.04,10.04,10,0.61,-10.8,6.35,6.57,25.55,21.56,5.28,7.37,5.35,64,199226,83.5,1.25,19.93,Automobile and Ancillaries,0.06,1.84,4.12,1.13,8.26,10.95,0.57,0.62,Debt : Ultra Short Duration,Nil
Aditya Birla SL Digital India Fund(G),Kunal Sangoi,EQ-TECH,Unrated,5332.7,1.87,Open Ended,15-Jan-00,BSE TECk Index - TRI,186.86,197.62,146,0.03,-0.05,12.91,18.32,26.67,7.98,27.7,18.88,31,33,191813,64.97,7.44,20.23,Technology,3.54,0.14,7.22,10.68,0.9,1.69,0.73,16.04,Equity : Sectoral - Technology,1% on or before 30D Nil after 30D
Aditya Birla SL Dividend Yield Fund(G),Dhaval Gala,EQ-DIV,Unrated,1536.5,2.21,Open Ended,10-Feb-03,NIFTY 500 - TRI,452.51,497.49,379.09,-1.52,-8.76,0.55,18.18,28.94,20.52,22.45,12.14,33,67,114357,55.76,10.69,24.65,Technology,10.72,3.22,6.68,9.83,0.88,1.27,0.98,16.7,Equity : Thematic - Dividend Yield,1% on or before 90D Nil after 90D
Aditya Birla SL Dynamic Bond Fund-Reg(G),Mohit Sharma,DT-DYN,1,1716.9,1.23,Open Ended,27-Sep-04,NIFTY Composite Debt Index,44.23,44.27,40.6,0.45,0.6,4.27,8.8,7.76,7.16,7.19,6.4,0,10,160299,13.74,25.88,15.92,Energy,15.02,8.15,7.24,1.18,2.14,3.62,1.13,2.11,Debt : Dynamic Bond,Nil upto 15% of units0.50% in excess of limit on or before 90D and Nil after 90D
Aditya Birla SL ELSS Tax Saver Fund(G),Dhaval Shah,EQ-ELSS,1,15745.8,1.68,Open Ended,10-Mar-08,NIFTY 500 - TRI,57.89,62.96,48.77,-1.67,-8.66,-2.08,16.11,18.22,11.41,12.22,11.03,28,67,190619,64.01,17.53,15.24,Financials,2.3,0.15,7.18,7.71,0.89,1.3,0.92,13.83,Equity : Tax Saving (ELSS),Nil
Aditya Birla SL Equity Advantage Fund(G),Vishal Gajwani,EQ-L&M,4,5869.5,1.9,Open Ended,24-Feb-95,NIFTY LargeMidcap 250 - TRI,901.21,960.8,746.94,0.23,-6.92,-0.62,16.09,22.12,9.17,16.01,12.3,47,77,103434,45.23,36.14,17.16,Financials,0.01,0.46,7.33,7.51,0.79,1.12,0.97,15.67,Equity : Large & Mid Cap,1% on or before 90D Nil after 90D
Aditya Birla SL Equity Hybrid 95 Fund(G),Chanchal Khandelwal,HY-EQ,4,7684.2,1.85,Open Ended,10-Feb-95,CRISIL Hybrid 35+65 - Aggressive Index,1486.91,1557.86,1261.26,-0.72,-4.98,0.65,15.6,18.88,11.68,13.88,10.37,69,80,216645,55.66,9.09,11.79,Financials,5.45,3.63,7.43,5.95,1.06,1.59,1.79,10.52,Hybrid : Equity Oriented,1% on or before 90D Nil after 90D
Aditya Birla SL Equity Savings Fund-Reg(G),Lovelish Solanki,HY-EQ,2,624.3,1.12,Open Ended,28-Nov-14,NIFTY 50 Equity Savings Index - TRI,21.07,21.07,19.38,0.38,-0.1,2.84,8.31,9.93,6.26,8.42,7.57,692,121,258243,48.73,16.8,3.32,Financials,3.53,2.78,6.92,2.7,1.5,2.45,0.46,2.68,Hybrid : Equity Oriented,0.25% on or before 7D Nil after 7D
Aditya Birla SL ESG Integration Strategy Fund-Reg(G),Chanchal Khandelwal,EQ-THEM,Unrated,686.8,2.41,Open Ended,24-Dec-20,NIFTY100 ESG - TRI,18.1,18.95,14.38,-0.11,-5.57,5.7,22.15,23.04,9.46,21.26,12.29,36.1,49,188095,67.07,21.51,9.87,Financials,10.51,0.56,7.61,12.78,1.29,2.12,0.85,13.25,Equity : Thematic,1% on or before 30D Nil after 30D
Aditya Birla SL Financial Planning FOF Aggressive Plan(G),Vinod Narayan Bhat,FOF-DOM,Unrated,216,1.19,Open Ended,09-May-11,CRISIL Hybrid 35+65 - Aggressive Index,51.1,54.15,43.41,-0.26,-5.27,1.11,16.89,20.7,14.75,16.85,12.37,0,151,305019,62.81,35.81,21.86,Financials,3.5,0.01,7.19,7.79,1.09,1.58,1.79,11.99,FoFs : Domestic,1% on or before 365D Nil after 365D
Aditya Birla SL Financial Planning FOF Conservative Plan(G),Vinod Narayan Bhat,FOF-DOM,Unrated,19.1,1.06,Open Ended,09-May-11,CRISIL Short Term Debt Hybrid 75+25 Index,32.42,33.22,28.97,0.19,-2.21,2.39,11.72,13.8,10.51,11.22,8.85,0,10,113227,42.52,24.69,91.95,Capital Goods,0.67,2.52,6.79,4.69,1.27,1.85,1.03,6.08,FoFs : Domestic,1% on or before 1Y Nil after 1Y
Aditya Birla SL Financial Planning FOF Moderate Plan(G),Vinod Narayan Bhat,FOF-DOM,Unrated,36.3,1.18,Open Ended,09-May-11,CRISIL Hybrid 50+50 - Moderate Index,40.08,41.8,34.91,-0.1,-3.85,1.72,14.29,17.23,12.6,14.02,10.51,27.78,47,363477,84.1,15.93,18.04,Financials,0.46,4.42,7.47,6.15,1.15,1.66,1.43,9.08,FoFs : Domestic,1% on or before 365D Nil after 365D
Aditya Birla SL Flexi Cap Fund(G),Harish krishnan,EQ-FLEX,3,22440.2,1.68,Open Ended,27-Aug-98,NIFTY 500 - TRI,1734.39,1853.62,1425.06,-0.79,-7.15,1.95,18.66,22.91,14.53,17.63,13.92,44,81,188311,69.01,16.84,12.37,Financials,13.09,3.72,7.07,9.83,1.05,1.59,0.92,13.73,Equity : Flexi Cap,1% on or before 90D Nil after 90D
Aditya Birla SL Floating Rate Fund(G),Kaustubh Gupta,DT-FL,3,13287.1,0.44,Open Ended,25-Mar-09,NIFTY Low Duration Debt Index,333.94,333.94,309.53,0.62,1.85,3.85,7.9,7.68,6.72,6.46,7.37,0,30,212748,45.43,12.86,2.04,Financials,1.89,1.02,7.64,3.6,10.34,19.98,0.07,0.37,Debt : Floater,Nil
Aditya Birla SL Focused Fund(G),Kunal Sangoi,EQ-LC,3,7706.3,1.82,Open Ended,24-Oct-05,NIFTY 500 - TRI,138.24,148.29,112.95,-1.05,-7.02,1.6,19.31,21.7,14.34,16.83,12.38,27,29,327990,78.14,11.98,2.11,Financials,3.36,3.63,6.81,9.9,1.08,1.66,0.94,13.58,Equity : Large Cap,1% on or before 90D Nil after 90D
Aditya Birla SL Frontline Equity Fund(G),Mahesh Patil,EQ-LC,4,29323.3,1.65,Open Ended,30-Aug-02,NIFTY 100 - TRI,511.08,550.82,427.33,-1.27,-7.69,-0.12,16,20.12,14.5,16.79,12.3,40,79,308142,83.74,4.63,8.17,Financials,0.32,2.06,7.22,7.13,0.87,1.31,0.95,13.68,Equity : Large Cap,1% on or before 90D Nil after 90D
Aditya Birla SL FTP-TI-1837D-Reg(G),Mohit Sharma,DT-FMP,Unrated,304.9,0.42,Closed Ended,29-Jun-21,CRISIL Medium to Long Term Debt Index,12.25,12.25,11.34,0.57,1.59,3.89,8.02,7.57,5.83,21.65,11.34,44,751,158242,51.79,5.91,3.41,Financials,8.1,3.56,7.1,3.4,6.07,14.84,0.16,0.64,Debt : FTP/FMP,Nil upto 10% of units. For remaining units 2% on or before 365D 1% after 365D but on or before 730D Nil after 730D
Aditya Birla SL FTP-TJ-1838D-Reg(G),Mohit Sharma,DT-FMP,Unrated,25.1,1.84,Closed Ended,16-Jul-21,CRISIL Medium to Long Term Debt Index,12.24,12.24,11.33,0.55,1.56,3.85,8.08,7.6,5.88,4.57,2.69,0,81,209088,78.21,28.46,10.57,Financials,3.3,2.61,7.24,3.4,6.1,14.1,0.18,0.64,Debt : FTP/FMP,Nil
Aditya Birla SL FTP-TQ-1879D-Reg(G),Mohit Sharma,DT-FMP,Unrated,211.8,0.31,Closed Ended,24-Mar-22,CRISIL Medium to Long Term Debt Index,11.82,11.83,10.95,0.5,1.51,3.99,8.06,7.78,6.38,7.02,6.35,0,39,70069,98.76,3.24,34.65,FMCG,5.54,2.12,7.84,3.02,5.66,13.27,0.29,0.69,Debt : FTP/FMP,NIL
Aditya Birla SL FTP-UB-1224D-Reg(G),Mohit Sharma,DT-FMP,Unrated,24.5,0.16,Closed Ended,16-Dec-22,CRISIL Medium Duration Debt Index,11.54,11.54,10.74,0.59,1.55,3.73,7.48,7.37,20.81,6.14,11.76,0,65,144198,66.78,15.93,2.59,FMCG,0.94,0.35,6.78,2.8,5.97,13.55,0.2,0.57,Debt : FTP/FMP,Nil
Aditya Birla SL FTP-UJ-1110D-Reg(G),Mohit Sharma,DT-FMP,Unrated,73.3,1.07,Closed Ended,27-Mar-23,CRISIL Medium Duration Debt Index,11.36,11.36,10.57,0.57,1.53,3.76,7.46,7.13,18.32,5.12,7.77,1.3,22,158794,9.43,11.74,4.41,Financials,6.12,1.75,6.66,2.87,5.9,12.9,0.17,0.57,Debt : FTP/FMP,NIL
Aditya Birla SL G-Sec Fund(G),Bhupesh Bameta,DT-GILT,3,2045,1.14,Open Ended,11-Oct-99,Nifty All Duration G-Sec Index,78.26,78.55,71.6,0.22,0.03,3.63,9.03,7.96,5.85,6.51,7.73,0,56,381438,59.16,60.19,28.36,Financials,20.87,9.38,7.04,0.66,1.84,3.21,1.36,2.55,Debt : Gilt,Nil
Aditya Birla SL Global Emerging Opp Fund(G),Dhaval Joshi,FOF-OVR,Unrated,248.2,1.16,Open Ended,17-Sep-08,S&P Global 1200,25.21,26.2,20.57,-1.08,2.34,3.6,19.6,-2.14,4.68,12.29,7.51,0.2,1,130614,1.16,14.51,3.09,Healthcare,5.47,2.27,8.93,15.2,1.1,1.78,0.5,15.01,FoFs : Overseas,0.25% on or before 28D Nil after 28D
Aditya Birla SL Global Excellence Equity FoF(G),Dhaval Joshi,FOF-OVR,Unrated,201.4,1.28,Open Ended,31-Dec-07,MSCI World,32.11,33.15,26.33,-0.93,-0.19,1.7,19.66,2.85,7.99,8.76,6.39,0.06,1,45081,87.79,30.54,3.41,Financials,2.62,3.56,6.92,15.3,1.1,1.8,0.48,14.91,FoFs : Overseas,0.25% on or before 28D Nil after 28D
Aditya Birla SL Gold ETF,Sachin Wankhede,GOLD-ETF,Unrated,946.5,0.54,Open Ended,13-May-11,Gold-India,68.35,70.72,55.06,-0.17,1.3,6.3,19.85,16.77,15.79,13.5,9.93,107,39,555827,79.57,39.81,25.56,Financials,3.08,0.13,7.16,15.12,1.22,1.85,0.09,12.62,Gold : ETFs,Nil
Aditya Birla SL Gold Fund(G),Priya Sridhar,GOLD-MF,Unrated,434.7,0.52,Open Ended,20-Mar-12,Gold-India,22.47,23.53,18.36,-0.66,0.74,6.25,18.87,16.41,15.05,12.71,9.36,69.46,33,684650,59.31,0.71,7.84,Financials,0.08,2.16,7.78,13.78,1.03,1.71,0.23,14.05,Gold : MFs,1% on or before 15D Nil after 15D
Aditya Birla SL Income Fund(G),Bhupesh Bameta,DT-M&LD,5,2185.1,1.16,Open Ended,21-Oct-95,CRISIL Medium to Long Term Debt Index,120.55,120.72,110.98,0.46,0.75,3.96,8.39,7.45,5.72,6.69,6.97,0,78,55893,49.09,34.82,14.49,Technology,15.12,6.65,7.34,1.23,2.3,4.06,0.97,1.8,Debt : Medium to Long Duration,Nil
